TIME TABLE FOR Spring 2021 SEMESTER [FAST School of Computing] <V1.0>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periods;;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;40;50;60;10;20;30;10;20;30;40;50;60;30;No. of Sessions
Days;Room;7:30 a.m.;;;;8:00 a.m.;;;;;;9:00 a.m.;;;;;;10:00 a.m.;;;;;;11:00 a.m.;;;;;;12:00 noon;;;;;;1:00 p.m.;;;;;;2:00 p.m.;;;;;;3:00 p.m.;;;;;;4:00 p.m.;;;;;;5:00 p.m.;;;;;;6:00 p.m.;;;;;;7:00 p.m.;;;;;;8:00 p.m.;;;;;;7:00 p.m.;;;;;;8:00 p.m.;;;7:00 p.m.;;;;;;8:00 p.m.;Room Wise
 Monday                 Monday        ;Aud-Old;;;;;;;;;;;;;;Big Data Analytics / Mining Massive Datasets (MDS-2A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Advanced Computer Vision (MDS-4A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Seminar Hall;;;;;Web Programming (BCS-8A);;;;;;;;;;;;;;;;;;Web Programming (BCS-6A);;;;;;;;;;;;;;;;;;Software Design and Analysis (BCS-6A);;;;;;;;;Technical and Business Writing (BCS-8A);;;;;;;;;Software QA & Management (MSP-2A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Drawing Hall-1;;;;;Internet of Things (MCS-2A);;;;;;;;;Research Methodology (MCS-2A);;;;;;;;;;;;;;;;;;Graph Algorithms (MCS-2A);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Drawing Hall-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lib. Con. Room;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E&M-6;;;;;Introduction to SPM (BCS-8A);;;;;;;;;Object Ori. Analysis and Design (BCS-8A);;;;;;;;;;;;;;;;;;Information Retrieval (BCS-8A);;;;;;;;;Information Retrieval (BCS-8B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E&M-7;;;;;Advanced Programming (BCS-8B);;;;;;;;;Professional Issues in IT (BCS-8B);;;;;;;;;Professional Issues in IT (BCS-8C);;;;;;;;;;;;;;;;;;Pakistan Studies (BDS-2A);;;;;;;;;Pakistan Studies (BDS-2B);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;E&M-8;;;;;;;;;;;;;;Differential Equations (Cal II) (BSE-2A);;;;;;;;;Differential Equations (Cal II) (BSE-2B);;;;;;;;;;;;;;;;;;Digital Logic Design (BDS-2B) ;;;;;;;;;Digital Logic Design (BDS-2A) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
