TIME TABLE FOR Fall 2020 SEMESTER [Computer Science Department] <V1.1>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periods,,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,10,20,30,40,50,60,30,No. of Sessions
Days,Room,7:30 a.m.,,,,8:00 a.m.,,,,,,9:00 a.m.,,,,,,10:00 a.m.,,,,,,11:00 a.m.,,,,,,12:00 noon,,,,,,1:00 p.m.,,,,,,2:00 p.m.,,,,,,3:00 p.m.,,,,,,4:00 p.m.,,,,,,5:00 p.m.,,,,,,6:00 p.m.,,,,,,7:00 p.m.,,,,,,8:00 p.m.,,,,,,7:00 p.m.,,,,,,8:00 p.m.,,,7:00 p.m.,,,,,,8:00 p.m.,Room Wise
Monday                   Monday,Seminar Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marketing Management (BCS-3G),,,,,,,,,Entrepreneurship (BCS-3B),,,,,,,,,Entrepreneurship (BCS-3C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,,,,,,,,,,,Data Science Tools and Tech. (MDS-1A),,,,,,,,,Operating Systems (BCS-5E),,,,,,,,,Operating Systems (BCS-5D),,,,,,,,,Software Engineering (BCS-7E),,,,,,,,,Software Engineering (BCS-7D),,,,,,,,,Software Project Management (MSP-3A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,,Computer Networks (BCS-7F),,,,,,,,,,,,,,,,,,Software Design & Analysis (BCS-5C),,,,,,,,,Ad. Computer Architecture (MCS-3A),,,,,,,,,Software Design & Analysis (BCS-5D),,,,,,,,,Probability and Statistics (BCS-7E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,,Theory of Automata (BCS-7A),,,,,,,,,Software for Mobile Devices (BCS-7A),,,,,,,,,Data Science (BCS-7B),,,,,,,,,Data Science (BCS-7A),,,,,,,,,Software Engineering (BCS-7B),,,,,,,,,Software Engineering (BCS-7A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,,,,,Theory of Automata (BCS-7E),,,,,,,,,Theory of Automata (BCS-7F),,,,,,,,,Data Ware and Data Mining (BCS-7A),,,,,,,,,Computer Networks (BCS-7E),,,,,,,,,Operating Systems (BCS-5F),,,,,,,,,Tech. & Business Writing (BCS-5F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,,,,,Software Design & Analysis (BCS-5F),,,,,,,,,Software Design & Analysis (BCS-5E),,,,,,,,,Machine Learning (MCS-3A),,,,,,,,,,,,,,,,,,Tech. & Business Writing (BCS-5B),,,,,,,,,Tech. & Business Writing (BCS-5A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,,,,,Theory of Automata (BCS-5E),,,,,,,,,Theory of Automata (BCS-5F),,,,,,,,,Software Design & Analysis (BCS-5B),,,,,,,,,Numerical Computing (BCS-5A),,,,,,,,,Software Design & Analysis (BCS-5A),,,,,,,,,Applied Physics (BCS-1F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,,,,,Theory of Programming Languages (MCS-3A),,,,,,,,,,,,,,,,,,Theory of Automata (BCS-5D),,,,,,,,,Theory of Automata (BCS-5C),,,,,,,,,Numerical Computing (BCS-5C),,,,,,,,,Numerical Computing (BCS-5B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
